NM_MUNICIP;
NITERÓI;Polygon ((-43.0811541085752 -22.9856290367506,-43.0865727163578 -22.9896103057709,-43.0889026007744 -22.9879297336702,-43.0811541085752 -22.9856290367506,-43.0625099763543 -22.9823532885733,-43.0677808623968 -22.9861727713563,-43.0674753042418 -22.9826588476276,-43.0625099763543 -22.9823532885733,-43.0533050240076 -22.9798706255289,-43.0551383756355 -22.9807873008932,-43.0530758551665 -22.9773115722712,-43.0533050240076 -22.9798706255289,-43.1021943998516 -22.956800951103,-43.1049444268438 -22.9575648478394,-43.1023471784795 -22.9553304507397,-43.1021943998516 -22.956800951103,-43.1150851525577 -22.9522557666903,-43.1156771726634 -22.9524085462174,-43.1167084333475 -22.9518356241147,-43.1150851525577 -22.9522557666903,-43.1221276265887 -22.8747720740719,-43.1197008519127 -22.876801411356,-43.1200176138218 -22.8772716722498,-43.1251505906272 -22.8745253019011,-43.1221276265887 -22.8747720740719,-43.1189969228697 -22.8636438154097,-43.1310641160161 -22.8665105249407,-43.1169106791845 -22.8584056934679,-43.1189969228697 -22.8636438154097,-43.1197008519127 -22.876801411356,-43.1185316451193 -22.8750656235796,-43.1221276265887 -22.8747720740719,-43.1251723803011 -22.8722259656557,-43.1136387288442 -22.8646794333092,-43.1116794802238 -22.8773995315631,-43.1053473078319 -22.8582619026647,-42.9907195831422 -22.8881914725584,-42.9838461636695 -22.9092147675474,-42.9537517687291 -22.9073753967571,-43.0222972164433 -22.9609293168344,-43.0139295401161 -22.9770097516986,-43.0516517058615 -22.9823070733127,-43.0521947578818 -22.9638785670422,-43.1355574338285 -22.9384911571411,-43.1241480255109 -22.9229721663324,-43.1116936967067 -22.9353073745357,-43.0959830315916 -22.9253315961762,-43.1367854571831 -22.9041025147192,-43.1244863279816 -22.8943778783364,-43.1340785940519 -22.8805063034231,-43.1145370724279 -22.8811195088582,-43.1197008519127 -22.876801411356,-43.1158600524994 -22.8537979468177,-43.1160401606249 -22.8545634029786,-43.1170307503688 -22.8542632245681,-43.1158600524994 -22.8537979468177))
VILA VELHA;Polygon ((-40.3567483617475 -20.5241238069681,-40.357703546981 -20.5247870605743,-40.3580789905529 -20.5241774964942,-40.3567483617475 -20.5241238069681,-40.3109009742005 -20.421076918465,-40.3115845407939 -20.4221125336664,-40.3118974643964 -20.420795418074,-40.3109009742005 -20.421076918465,-40.2964850738271 -20.3798364663798,-40.2972313699317 -20.3827580030793,-40.2983455615983 -20.3808456424124,-40.2964850738271 -20.3798364663798,-40.2780644483156 -20.364489151653,-40.2788767888327 -20.3653303325288,-40.2793347775779 -20.364407294461,-40.2780644483156 -20.364489151653,-40.2795952239404 -20.3627000259854,-40.2802202590577 -20.3635612869238,-40.2805913265285 -20.3624185264937,-40.2795952239404 -20.3627000259854,-40.2806694920034 -20.3540666035909,-40.2813528544506 -20.3551020434245,-40.281665526243 -20.353785067227,-40.2806694920034 -20.3540666035909,-40.2529102524062 -20.353192892438,-40.2535934295931 -20.3542283313723,-40.2539063307125 -20.3529115350393,-40.2529102524062 -20.353192892438,-40.2509182693626 -20.3514734093703,-40.2516014330596 -20.352508843808,-40.2519143377764 -20.3511920591662,-40.2509182693626 -20.3514734093703,-40.2712891619652 -20.3347030757863,-40.2719724623592 -20.3357384643586,-40.2722850667024 -20.3344215322279,-40.2712891619652 -20.3347030757863,-40.2706006661878 -20.3325827091247,-40.2712839611858 -20.3336180923011,-40.2715965556365 -20.3323011628683,-40.2706006661878 -20.3325827091247,-40.2684326426523 -20.3316976422324,-40.2691159241605 -20.3327330227108,-40.2694285303024 -20.3314161067678,-40.2684326426523 -20.3316976422324,-40.2685391232819 -20.3207398995267,-40.2692224047901 -20.3217752503275,-40.269534927295 -20.3204583244921,-40.2685391232819 -20.3207398995267,-40.2709587024821 -20.3218395347667,-40.2722329392986 -20.3223085500995,-40.2726267812009 -20.3202792110167,-40.2709587024821 -20.3218395347667,-40.3591573550279 -20.5196377107117,-40.3772257088993 -20.5356142460006,-40.3799427388662 -20.5181066077337,-40.4841547764217 -20.5051771068379,-40.4634538029506 -20.4322063561383,-40.3939397125476 -20.4225031568951,-40.3653424900638 -20.3956754908312,-40.3545411790321 -20.3269088971279,-40.2748621783468 -20.3200125620301,-40.3591573550279 -20.5196377107117))
ARACAJU;Polygon ((-37.0271337194455 -10.9683408417564,-37.1203743454996 -11.0931354615323,-37.1523885969561 -11.1627288154824,-37.1728727169023 -11.0765795946725,-37.1570738040128 -11.0550775473909,-37.1391435698199 -11.0628591948959,-37.0913903722678 -10.940963421025,-37.103433420416 -10.8766412409005,-37.0571436059926 -10.8648175185136,-37.0339090525607 -10.8700841264812,-37.0444425041183 -10.9067511257638,-37.0271337194455 -10.9683408417564))
ITAJAÍ;Polygon ((-48.717824541969 -26.8470439592113,-48.7213795026619 -26.8764292540068,-48.6921312267747 -26.8643714668697,-48.6892161903748 -26.8861301392944,-48.6675636631325 -26.8821161403475,-48.6684919865159 -26.8980212973449,-48.6210219261209 -26.925589379746,-48.627424088251 -26.9595936600193,-48.6850567170938 -26.9700886214927,-48.720973277095 -27.0143112497643,-48.7538617163451 -27.0286526215212,-48.7880887164211 -27.0968786210515,-48.8441739996304 -27.0674469994794,-48.8685640002284 -27.0106149992827,-48.8435027168769 -26.9649596214893,-48.802324301825 -26.9682513587132,-48.7603086557198 -26.9418991345374,-48.786413063612 -26.9155058203373,-48.7624166567033 -26.8858628841647,-48.7614794435215 -26.8561784901452,-48.7317356411868 -26.8381857485734,-48.717824541969 -26.8470439592113,-48.6358283624889 -26.9215644855125,-48.6353434084715 -26.9216239280018,-48.6347984741702 -26.9209500875764,-48.6358283624889 -26.9215644855125))
GUARULHOS;Polygon ((-46.3359900004381 -23.3298069995933,-46.3721289996536 -23.3676609996554,-46.3776079996094 -23.4017289995936,-46.3584209997293 -23.4372780003794,-46.3972380001335 -23.4463889996526,-46.3876080003089 -23.4818249997239,-46.4057169999396 -23.4860819999843,-46.4107239997128 -23.4703720003675,-46.5033840000715 -23.4773239999026,-46.5554699999405 -23.5100970003762,-46.5669050002655 -23.4161409996074,-46.5366030004281 -23.3640220000153,-46.495943427647 -23.3482262248604,-46.4805209997443 -23.3622409997223,-46.4450550000881 -23.358741000197,-46.4316719998629 -23.335149000426,-46.3999710002614 -23.288778999751,-46.3650129997501 -23.2738100001313,-46.3568530002657 -23.3215259999249,-46.3359900004381 -23.3298069995933))
SANTO ANDRÉ;Polygon ((-46.4692390001797 -23.7248410000121,-46.4571229999265 -23.7675999996403,-46.3966720001127 -23.7676599997092,-46.3357849999777 -23.725518999802,-46.2783909999446 -23.7703070003677,-46.3202919995761 -23.8030969998267,-46.3202860001987 -23.7851880004258,-46.3355590003475 -23.7812470003487,-46.3723869998601 -23.7897110003623,-46.394275000191 -23.8143459996681,-46.429869000354 -23.8115290001632,-46.4971630000724 -23.7473730003636,-46.5278159999085 -23.7486099998516,-46.5165930003666 -23.7057409996474,-46.5535220000402 -23.6833450001716,-46.5672079998492 -23.6501639997687,-46.5468400030637 -23.6259481798646,-46.5467440004352 -23.6056500001474,-46.4849160000733 -23.6233469996642,-46.4814910004093 -23.6482719997529,-46.499479999902 -23.6566650000896,-46.4810170001344 -23.6736740002549,-46.4917480003698 -23.708967000027,-46.4692390001797 -23.7248410000121))
SÃO BERNARDO DO CAMPO;Polygon ((-46.5167630001123 -23.7053620001561,-46.5278159999085 -23.7486099998516,-46.4991229996267 -23.7461420002531,-46.4102959997605 -23.8153789996411,-46.4445619998364 -23.829164999565,-46.4378980000926 -23.8425829996057,-46.4584849997829 -23.8660309999307,-46.5646549999283 -23.953117999596,-46.6113409998872 -23.9679180004154,-46.6087649998049 -23.9047379997588,-46.6351157104216 -23.8385031720837,-46.6228439997507 -23.7862350001451,-46.6520460001228 -23.7307930001967,-46.6060980000227 -23.7322010003758,-46.577515000317 -23.6719790003306,-46.616442000398 -23.6581569996458,-46.5841802447225 -23.6431902941967,-46.5167630001123 -23.7053620001561))
SÃO CAETANO DO SUL;Polygon ((-46.5446459999129 -23.6108430004041,-46.5557009998013 -23.6487839999816,-46.5833450002715 -23.6411329996881,-46.5792959997106 -23.604665999736,-46.5446459999129 -23.6108430004041))
CAMPO GRANDE;Polygon ((-54.6668737632136 -20.2220138091899,-54.6433005134079 -20.2529302932983,-54.6063939095512 -20.2506228802417,-54.5171815564836 -20.2847526366248,-54.4893105851154 -20.3902396493403,-54.3918890225603 -20.4261949881082,-54.3408599833015 -20.475667468179,-54.2587463163894 -20.4959144953576,-54.1841612835164 -20.4658220033827,-54.1953796065835 -20.5375224410078,-54.1780535639208 -20.5962926384944,-54.2020851091405 -20.6997284028434,-54.1567192285095 -20.7734925984046,-54.0918539253183 -20.7975931036388,-54.0653194904021 -20.8354240495802,-54.0232548087624 -20.8550620396813,-54.0018526689655 -20.9259097779139,-53.974191477055 -20.9529229741159,-53.910220011844 -20.9581587074583,-53.867353441608 -20.9808941542418,-53.84413673792 -21.0163109411969,-53.8471396542716 -21.0429137605615,-53.803714175169 -21.0730890009566,-53.7584097658979 -21.0797241351607,-53.7260731002933 -21.1441666077027,-53.6866087975579 -21.1759270695786,-53.6708000586758 -21.2580717666986,-53.6165800575236 -21.3643894040477,-53.617329106453 -21.4170573147433,-53.6389185642403 -21.4569037493085,-53.6125046744511 -21.4784658020551,-53.6055290128536 -21.5639903699596,-53.6386751762184 -21.579610387909,-53.6419520044814 -21.562473353962,-53.6751954502098 -21.552457970359,-53.6978926982894 -21.5611129378118,-53.7000060412458 -21.5803824001276,-53.7031165938557 -21.5659811883811,-53.7384469271839 -21.5849439090341,-53.7405832765969 -21.5679132172211,-53.7619200896404 -21.5803659065613,-53.7683074462316 -21.5591394457288,-53.7962560974409 -21.5676483012281,-53.8219450293396 -21.5450522421672,-53.8477270644524 -21.5671252762105,-53.875778554037 -21.565781181856,-53.9768604346613 -21.5346366710455,-54.0457997989216 -21.4677529888094,-54.0666113134613 -21.4695423824749,-54.0665757137981 -21.455027902016,-54.1013058656731 -21.4388880480449,-54.1078041428469 -21.4077062864159,-54.1302995362945 -21.402857604195,-54.197943062922 -21.3373536519495,-54.2017171380355 -21.2993946578371,-54.2228036454718 -21.2984921000303,-54.2158832894822 -21.2854954188784,-54.2349159153372 -21.2911970505035,-54.22386214752 -21.2598070004926,-54.2727756935434 -21.236801814652,-54.2611139183726 -21.2228209766067,-54.2674699497783 -21.1836189170793,-54.3057206740698 -21.1665290516743,-54.2923074674156 -21.1413984683646,-54.3397776752994 -21.1199207900124,-54.3455051579367 -21.1029918438985,-54.3769745119641 -21.1053189907788,-54.3924141942596 -21.0618474519983,-54.4182754200745 -21.0507923567818,-54.4092561759317 -21.041963191548,-54.4279731748221 -21.0239508753326,-54.5167802717921 -20.9982708584133,-54.527837990331 -20.9566348916869,-54.5385039093279 -20.9651096071226,-54.5663934633876 -20.9483717156821,-54.6024446483018 -20.9036467872694,-54.6296695413162 -20.9093850644691,-54.6374431353923 -20.8884099920274,-54.6839217328017 -20.8885201499849,-54.6756663458252 -20.8673720623707,-54.6957203218353 -20.8582508764767,-54.6958091145989 -20.8251096818663,-54.7111989366816 -20.8294818753882,-54.6940340579254 -20.8090385352002,-54.7086104782909 -20.7914031752163,-54.6960256218849 -20.7699231532309,-54.7303075732358 -20.70527151277,-54.7706158231617 -20.6936977695364,-54.8163089913668 -20.7395866562991,-54.8243352544684 -20.7762645059022,-54.8543428288584 -20.6869381700604,-54.7654914312845 -20.6234611476139,-54.7954237692915 -20.562563566955,-54.7850157075089 -20.5017803818591,-54.7616135546218 -20.4821269926665,-54.7695739109072 -20.3188793137293,-54.8206133103559 -20.299322468557,-54.8210238211923 -20.282755757672,-54.9229448502246 -20.247789022945,-54.9127900986841 -20.2065645068465,-54.862751319118 -20.1987596028733,-54.8478925359117 -20.1671815028241,-54.7810081423119 -20.1718723594218,-54.7706663335844 -20.1906409236396,-54.7255370807716 -20.1933827596066,-54.6668737632136 -20.2220138091899))
