NM_MUNICIP;;;
Bage;bage;br_bage;Polygon ((-53.6577409223057 -30.8386254586979,-53.6573324502323 -30.8726666534433,-53.6006124174291 -30.8576946545846,-53.6098853980926 -30.8976611603342,-53.5880215535518 -30.8966968415859,-53.6015499273872 -30.9189157780407,-53.5738447163606 -30.9080246750987,-53.5636115565281 -30.9316264109301,-53.5428431222123 -30.9273894178873,-53.5587786592077 -30.9413962436417,-53.5317586290574 -30.9430825687056,-53.5422282188572 -30.9536720273421,-53.5186282052275 -30.9341979009123,-53.4798512399427 -30.968529276305,-53.4635193519365 -30.9444851171943,-53.4537372236938 -30.967595341152,-53.4297699287392 -30.9671120859539,-53.4477776512176 -30.9720517768679,-53.4380759997076 -30.9920763738256,-53.4587308307632 -30.9943662195254,-53.4507139502886 -31.005477662664,-53.4634821928489 -31.0130715667993,-53.4465725048172 -31.0161687060209,-53.4908483055049 -31.0374959880494,-53.4743604579687 -31.0554677133642,-53.489555235086 -31.0772238604927,-53.4745554669612 -31.0887904154453,-53.4865716595544 -31.084070311096,-53.4821075310377 -31.1017780979808,-53.4967320399517 -31.1061436401168,-53.4804916085009 -31.1136418734736,-53.499018784789 -31.132191206359,-53.4888798730077 -31.1538164967339,-53.5216466735551 -31.1765571883635,-53.5040218931958 -31.1749824781588,-53.5275979425909 -31.2084151178633,-53.5293289100011 -31.2483284754787,-53.5551272075546 -31.2328280394824,-53.5687994873065 -31.272170077587,-53.6056013066549 -31.2848203587725,-53.6185314047005 -31.3304752176571,-53.6862453158686 -31.3370269460367,-53.7652506802746 -31.3121911532991,-53.7393888923834 -31.2343598556228,-53.8195812962398 -31.2436726555686,-53.8563397439839 -31.2212682195527,-53.9035459819614 -31.2279342418717,-53.9842150579785 -31.2619720677567,-54.0130220086587 -31.310830316266,-53.9543169589604 -31.3460687685588,-53.9990633955592 -31.3793492519663,-53.9218274949429 -31.4554702900218,-53.993141586515 -31.5248088606404,-54.0144096796629 -31.5376005844993,-54.0412386272608 -31.5230852047184,-54.0300916321231 -31.5023475802766,-54.1133105271591 -31.4298048753947,-54.1428987278939 -31.4827932145352,-54.1838574259794 -31.4853952095212,-54.2271912102062 -31.5173759990031,-54.2748200405124 -31.5102000664799,-54.3274008095996 -31.5833222899917,-54.3770969726471 -31.5944126800011,-54.4379196379809 -31.6541518682141,-54.456589355914 -31.6518597670146,-54.4670937233966 -31.6135018084616,-54.4531203443284 -31.6009098339217,-54.4936851474516 -31.5604840884699,-54.5156238425662 -31.5115558897924,-54.5745937902711 -31.4823438251074,-54.5863314043708 -31.4571824616013,-54.6701382437849 -31.45444638849,-54.7014015622323 -31.4359070776495,-54.6498824257333 -31.3956565606018,-54.6352312042566 -31.3590639595341,-54.5696175940766 -31.371108302706,-54.5544034005964 -31.3420086991421,-54.5042730214827 -31.3082192714022,-54.4230764768978 -31.3013981915732,-54.4054084301549 -31.2323055180851,-54.3634999868349 -31.1983471688867,-54.319647362136 -31.1874122608671,-54.3123581006458 -31.1609224332237,-54.1694080357522 -31.14299145709,-54.1675549098312 -31.1589897478785,-54.1461649441568 -31.161478993061,-54.1049317864727 -31.1406086457723,-54.0768118692723 -31.0908104987055,-54.0277992566304 -31.0664831520758,-54.0129343949064 -31.0763023314873,-54.0159825219758 -31.0623524148321,-53.953458010179 -31.0402624825275,-53.9583408477519 -31.0201415034276,-53.9282416432372 -31.0285282076106,-53.925053912608 -31.0144982530919,-53.9460589117893 -31.0002731097162,-53.9286555984771 -31.0014976481979,-53.9264266260879 -30.9874925482425,-53.9467071638045 -30.9887724696737,-53.913515485751 -30.9623044254089,-53.9348651707909 -30.964018056588,-53.9234358874562 -30.9398129152338,-53.8964902573195 -30.9460168281141,-53.869681436549 -30.925178752997,-53.887124930671 -30.9186937489173,-53.8796249526294 -30.9110653243052,-53.7960084457332 -30.9097482419878,-53.7751317420362 -30.8908967099152,-53.6577409223057 -30.8386254586979))
Balneario Camburiu;balneario camburiu;br_balneariocamburiu;Polygon ((-48.5867480012192 -27.0566908856758,-48.5869373273957 -27.0568978097861,-48.5868537524987 -27.0564739718962,-48.5867480012192 -27.0566908856758,-48.5847661949039 -27.0540393272531,-48.5848952674026 -27.0543055526591,-48.5851341426265 -27.0541663636867,-48.5847661949039 -27.0540393272531,-48.5230824071273 -27.0232930308487,-48.5241647439078 -27.024247734945,-48.5241348711273 -27.0233043587091,-48.5230824071273 -27.0232930308487,-48.5246469100268 -27.0214580289648,-48.5246729885675 -27.0229594983821,-48.5261421732227 -27.0224042389644,-48.5246469100268 -27.0214580289648,-48.5277307599666 -27.0233216670612,-48.5349560409884 -27.0307098656677,-48.5304457448752 -27.0181716175261,-48.5277307599666 -27.0233216670612,-48.5783066227524 -26.9925726043422,-48.5785444232865 -26.9931869267352,-48.579651474336 -26.9925529523568,-48.5783066227524 -26.9925726043422,-48.6225176902392 -26.9858658859019,-48.6233705074429 -26.9867821601685,-48.6242612733391 -26.9863876671571,-48.6225176902392 -26.9858658859019,-48.6342404448406 -26.9778968115886,-48.6193379896565 -27.0015235108013,-48.5871563168105 -26.9916000999646,-48.5687128251367 -27.0091839377885,-48.5889537755962 -27.0610367227665,-48.6817186701804 -26.9780529159093,-48.6385501192925 -26.9554381806275,-48.6238870006845 -26.9610237601384,-48.6342404448406 -26.9778968115886,-48.5882776814698 -27.0580372849927,-48.5882041618925 -27.0583226416765,-48.5880475476562 -27.0581615389239))
Belem;belem;br_belem;Polygon ((-48.3008251077924 -1.15389628878268,-48.3705687051815 -1.24122270416444,-48.4075963299067 -1.22788243162887,-48.4275809996633 -1.25719299995694,-48.4222074605058 -1.31302062290337,-48.4400663191053 -1.34407851910834,-48.4214039998947 -1.3693189995721,-48.4354134399782 -1.3845586897317,-48.4299228873313 -1.40433656128323,-48.3943612636613 -1.39112578212911,-48.3906109998977 -1.40869899985893,-48.3739087494891 -1.403031437251,-48.3714295758142 -1.42355824171943,-48.4000178149702 -1.46480764295831,-48.3454672581074 -1.45126201293152,-48.3318468197749 -1.46924015760715,-48.4574326163221 -1.52179568272453,-48.4965962514158 -1.50323512989729,-48.5095407332182 -1.5261250055645,-48.5231116512816 -1.38200114823434,-48.6244082333532 -1.19216676398491,-48.469483653148 -1.01942673365676,-48.3237638409284 -1.05965964107952,-48.29862911714 -1.11455602683913,-48.3008251077924 -1.15389628878268))
Blumenau;blumenau;br_blumenau;Polygon ((-49.1144073853925 -26.6133333133816,-49.1131020850931 -26.6548117332748,-49.0471021990072 -26.6503722290951,-49.0176199995633 -26.6832089995956,-49.049269000364 -26.7092929991725,-49.0305329996982 -26.7777099994169,-49.0548509996739 -26.7816039991252,-49.0375670003168 -26.8289089988511,-49.0444519904669 -26.8771009162742,-49.0096489485401 -26.906181429929,-49.0570569997807 -26.9545209989449,-49.0412660000258 -26.9851029991041,-49.0594700004401 -27.0014319993872,-49.0592701459005 -27.0985039082287,-49.0797470191096 -27.1201244375927,-49.1399219702227 -27.1325423402567,-49.1564470002288 -27.0974939992486,-49.1395099997866 -27.0922319994072,-49.1283369998526 -27.031624999594,-49.1599899999385 -26.9989149993277,-49.158779999897 -26.9343409991378,-49.1763133066138 -26.9151058027905,-49.1651923243662 -26.8953663790551,-49.1489553562047 -26.8989187173249,-49.1853346012109 -26.8796286029776,-49.1739891805562 -26.8688678252898,-49.2007089999204 -26.8379659992314,-49.1388039951082 -26.8342818275443,-49.1236219640824 -26.8208346984625,-49.1272792244566 -26.7527458572355,-49.1058366349527 -26.7415314669036,-49.1318829997006 -26.704697999513,-49.1323703845856 -26.6293683135967,-49.1144073853925 -26.6133333133816))
Boa Vista;boa vista;br_boavista;Polygon ((-60.48314980432 3.60584311936452,-60.4506201019361 3.58010274354683,-60.4282276952519 3.58676526660383,-60.3799496821321 3.56656456260453,-60.3588431791693 3.54184840847734,-60.3377275256048 3.54545331571802,-60.2857851771442 3.45406612585106,-60.3216140289642 3.41462640608381,-60.3213438834135 3.36907065428733,-60.3457849960807 3.31767516377783,-60.3960648407198 3.30045651365725,-60.4105073574286 3.27962759273925,-60.3738345566194 3.16490019708647,-60.4485655260781 3.04546139622653,-60.4885612346133 3.01684102879051,-60.5499500942215 2.90295668999931,-60.6493964084175 2.83490308061272,-60.6946717471034 2.72823378675992,-60.7752326634566 2.64351602674327,-60.8243961445664 2.54685223654155,-60.8280054602837 2.45545849061688,-60.8507858138142 2.42851235146389,-60.8682861172105 2.43462986467654,-60.8577300018381 2.44852022283004,-60.8844005104751 2.47156816783672,-60.9141181092633 2.469905761142,-60.8952312868943 2.51018272005655,-60.9443922418085 2.52129027632526,-60.9155121465683 2.56518708381691,-60.9171764805101 2.62768612771265,-61.0005114519419 2.68166814486904,-61.0005369063531 3.44793836306508,-60.9461214249637 3.48008004395894,-60.9093303192388 3.46351181681695,-60.8809848340828 3.48060006074428,-60.743147822414 3.49832327190154,-60.5950811348864 3.40096551624561,-60.6032619033141 3.45649998178879,-60.5521726346593 3.48017908449719,-60.5529819129849 3.51863864665626,-60.5281757286269 3.55429527830449,-60.5143431096467 3.54283665638661,-60.48314980432 3.60584311936452))
Braco do Norte;braco do norte;br_bracodonorte;Polygon ((-49.1754437125572 -28.1414879468112,-49.1496402483987 -28.171379694817,-49.1287868218543 -28.1621024073002,-49.0796882834874 -28.1748529278203,-49.0696727146241 -28.2320147930482,-49.091195000249 -28.2993429993799,-49.0825550002131 -28.3214659988567,-49.1056460002627 -28.3586289994287,-49.1251381032408 -28.3191133696862,-49.156300965617 -28.3179533890377,-49.158641685965 -28.2988907626985,-49.1851476249629 -28.3021269308132,-49.2335387089442 -28.2565922033675,-49.2759532448463 -28.2480125118679,-49.224134242901 -28.2367271920062,-49.1751331199974 -28.2571370090657,-49.1982164596218 -28.2273853061869,-49.2000513922579 -28.1541414439724,-49.1754437125572 -28.1414879468112))
Cianorte;cianorte;br_cianorte;Polygon ((-52.4525560102516 -23.5481043654241,-52.4774450032842 -23.6122925429664,-52.4961939955564 -23.6249063278647,-52.4948305459928 -23.6490122829904,-52.5124378714106 -23.65828318622,-52.5118872399042 -23.6931419015775,-52.5479717716799 -23.7353725755838,-52.5724725696533 -23.8064394543173,-52.5651663865195 -23.8570147118594,-52.6197101759838 -23.9534061243931,-52.7056171446155 -23.9277667442398,-52.741696512484 -23.8585134644248,-52.724125963942 -23.8239214969794,-52.7377521318554 -23.6447168493031,-52.6708899371209 -23.5374650933393,-52.6396112924272 -23.5766511341425,-52.5881652051601 -23.5949321506981,-52.5641164091449 -23.5873563741973,-52.5457676970216 -23.5855987751633,-52.4894448030352 -23.5200830355037,-52.4525560102516 -23.5481043654241))
Criciuma;criciuma;br_criciuma;Polygon ((-49.332563876022 -28.6791949408937,-49.335465299384 -28.7543538437548,-49.3570882802999 -28.755330896004,-49.3511778215992 -28.8548994496498,-49.427072336619 -28.8135490581425,-49.4165622341598 -28.7937210988496,-49.4331053549282 -28.7551514290951,-49.4066861051796 -28.7375040766518,-49.4229790003805 -28.7126799993824,-49.4760931321923 -28.7128473659131,-49.4671389998649 -28.6912779989804,-49.4515339996943 -28.6336829995707,-49.2921232036229 -28.6373108647046,-49.2435663485081 -28.6746214287359,-49.332563876022 -28.6791949408937))
Cuiaba;cuiaba;br_cuiaba;Polygon ((-55.9076080312856 -15.097812081962,-55.8979464922368 -15.1924039942489,-55.9310339766367 -15.2679502027396,-55.8720516812401 -15.2739786902643,-55.8679999377469 -15.288393404432,-55.8134487729425 -15.3064073142461,-55.7985306146961 -15.3398550661583,-55.8066038448915 -15.370653586194,-55.7464717932386 -15.4880446037754,-55.5905536807078 -15.4734037056165,-55.5480139501836 -15.5184396843439,-55.476812965446 -15.5443089015345,-55.4819453999602 -15.5651018828456,-55.464143624029 -15.5815365094023,-55.4972681847789 -15.6084975746033,-55.4825542310929 -15.6242080652499,-55.6051383712388 -15.7174610524855,-55.8914382739571 -15.6987049195963,-56.1452086811357 -15.7671640323941,-56.1099064228431 -15.7395590777892,-56.1131122793082 -15.6937302405581,-56.0699749366939 -15.6789426521816,-56.0697113247178 -15.6451988344586,-56.1032732257787 -15.6163008544009,-56.1294412067463 -15.6281916383334,-56.1414630120083 -15.5617827765539,-56.1652930416405 -15.5562279844339,-56.1925107265887 -15.5232576034556,-56.1829993734223 -15.5089721713286,-56.2456692633258 -15.4581524438801,-56.2315538929977 -15.4140522897813,-56.2412287357175 -15.3703472869976,-56.2803212883967 -15.3380314937584,-56.2780560364569 -15.2848742673335,-56.3017787140164 -15.2534341178902,-56.2652433817766 -15.2002390911611,-56.1931084133226 -15.171678302012,-56.1322799581535 -15.1349648995105,-56.1297556475051 -15.1001058109344,-56.1118678918896 -15.0832105300419,-56.0233653863035 -15.0994552557554,-55.9405806992398 -15.0891764652217,-55.9241154876396 -15.0714574467037,-55.9076080312856 -15.097812081962))
Feira de Santana;feira de santana;br_feiradesantana;Polygon ((-39.1749652293618 -11.9813765874595,-39.1764754320955 -11.9970873020373,-39.1375967966548 -11.9927611798845,-39.1132900400033 -12.0589324524707,-39.0594439499783 -12.058932456068,-39.0541614096213 -12.004663678386,-39.0309956372388 -12.0589267660574,-38.9912267799918 -12.0572398285552,-38.96415710007 -12.0191305820107,-38.8985329912045 -12.0504149544865,-38.8747380369308 -12.0960778847865,-38.8918660605702 -12.116582164835,-38.8832064921858 -12.1590224537232,-38.8550891065769 -12.1928113625543,-38.8571722583929 -12.2252840659069,-38.840607139308 -12.2475620086797,-38.8491093470187 -12.2897506861452,-38.8112192103982 -12.3364921086239,-38.848687919312 -12.34998887039,-38.8283499230105 -12.4013346005113,-38.9079726935849 -12.3861932754992,-38.9560567202414 -12.3009098284258,-38.9963569706976 -12.3111483913851,-39.0012316001582 -12.3411656406817,-39.0246971633434 -12.3542057168203,-39.0103286473491 -12.3923862346369,-39.0456912186747 -12.4179101778124,-39.0741573775609 -12.3949094741928,-39.0709761957947 -12.3578650537292,-39.1101143521956 -12.3455063165632,-39.14477311139 -12.2724872749677,-39.2395036649621 -12.2940687260908,-39.2343445295763 -12.2755235210936,-39.2936425148901 -12.1865010616746,-39.2835886510953 -12.1780813128023,-39.2464263232162 -12.2117757730335,-39.1921994062775 -12.2235697134715,-39.1485428148989 -12.2692690834014,-39.0759455841214 -12.2322405224821,-39.1865112213158 -12.1815434742519,-39.1765529275755 -12.1180216484802,-39.2122979562856 -12.1058809447497,-39.2874007504442 -12.0216556507876,-39.2966769326943 -11.990799308841,-39.1749652293618 -11.9813765874595))
