"Location";"Pop_total"
"1";"Afghanistan";38.928341
"2";"Africa";1340.598113
"3";"African Group";1338.826591
"4";"African Union";1339.423921
"5";"African Union: Central Africa";158.619638
"6";"African Union: Eastern Africa";392.563672
"7";"African Union: Northern Africa";207.032899
"8";"African Union: Southern Africa";184.002188
"9";"African Union: Western Africa";397.205524
"10";"African, Caribbean and Pacific (ACP) Group of States";1179.679906
"11";"Albania";2.8778
"12";"Algeria";43.851043
"13";"Andean Community";113.170819
"14";"Angola";32.866268
"15";"Antigua and Barbuda";0.097928
"16";"Argentina";45.195777
"17";"Armenia";2.963234
"18";"Aruba";0.106766
"19";"Asia";4641.054786
"20";"Asia-Pacific Economic Cooperation (APEC)";2972.249482
"21";"Asia-Pacific Group";4621.68223
"22";"Association of Southeast Asian Nations (ASEAN)";667.301412
"23";"Australia";25.499881
"24";"Australia/New Zealand";30.322114
"25";"Austria";9.0064
"26";"Azerbaijan";10.139175
"27";"BRIC";3177.822028
"28";"BRICS";3237.130718
"29";"Bahamas";0.393248
"30";"Bahrain";1.701583
"31";"Bangladesh";164.689383
"32";"Barbados";0.287371
"33";"Belarus";9.449321
"34";"Belgium";11.589616
"35";"Belize";0.397621
"36";"Belt-Road Initiative (BRI)";3403.061795
"37";"Belt-Road Initiative: Africa";1192.659576
"38";"Belt-Road Initiative: Asia";1572.525725
"39";"Belt-Road Initiative: Europe";413.895375
"40";"Belt-Road Initiative: Latin America and the Caribbean";208.569955
"41";"Belt-Road Initiative: Pacific";15.411164
"42";"Benin";12.123198
"43";"Bhutan";0.771612
"44";"Black Sea Economic Cooperation (BSEC)";343.357186
"45";"Bolivarian Alliance for the Americas (ALBA)";58.690348
"46";"Bolivia (Plurinational State of)";11.673029
"47";"Bosnia and Herzegovina";3.280815
"48";"Botswana";2.351625
"49";"Brazil";212.559409
"50";"Brunei Darussalam";0.437483
"51";"Bulgaria";6.948445
"52";"Burkina Faso";20.903278
"53";"Burundi";11.890781
"54";"Cabo Verde";0.555988
"55";"Cambodia";16.718971
"56";"Cameroon";26.545864
"57";"Canada";37.742157
"58";"Caribbean";43.532374
"59";"Caribbean Community and Common Market (CARICOM)";18.849823
"60";"Central African Republic";4.829764
"61";"Central America";179.670186
"62";"Central Asia";74.338926
"63";"Central European Free Trade Agreement (CEFTA)";25.746658
"64";"Central and Southern Asia";2014.708531
"65";"Chad";16.425859
"66";"Channel Islands";0.173859
"67";"Chile";19.116209
"68";"China";1439.323774
"69";"China (and dependencies)";1471.286879
"70";"China, Hong Kong SAR";7.496988
"71";"China, Macao SAR";0.649342
"72";"China, Taiwan Province of China";23.816775
"73";"Colombia";50.882884
"74";"Commonwealth of Independent States (CIS)";290.592838
"75";"Commonwealth of Nations";2565.38555
"76";"Commonwealth: Africa";583.993867
"77";"Commonwealth: Asia";1825.653173
"78";"Commonwealth: Caribbean and Americas";44.597814
"79";"Commonwealth: Europe";69.534904
"80";"Commonwealth: Pacific";41.605792
"81";"Comoros";0.869595
"82";"Congo";5.518092
"83";"Costa Rica";5.094114
"84";"Countries with Access to the Sea";7199.203331
"85";"Countries with Access to the Sea: Africa";999.209561
"86";"Countries with Access to the Sea: Asia";4474.222842
"87";"Countries with Access to the Sea: Europe";679.066702
"88";"Countries with Access to the Sea: Latin America and the Caribbean";635.156773
"89";"Countries with Access to the Sea: Northern America";368.869644
"90";"Countries with Access to the Sea: Oceania";42.677809
"91";"Croatia";4.105268
"92";"Cuba";11.326616
"93";"Curaçao";0.1641
"94";"Cyprus";1.207361
"95";"Czechia";10.708982
"96";"Côte d'Ivoire";26.378275
"97";"Dem. People's Republic of Korea";25.778815
"98";"Democratic Republic of the Congo";89.561404
"99";"Denmark";5.792203
"100";"Denmark (and dependencies)";5.89784
"101";"Djibouti";0.988002
"102";"Dominican Republic";10.847904
"103";"ECE: North America-2";368.744804
"104";"ECE: UNECE-52";1301.482488
"105";"ECLAC: Latin America";641.934032
"106";"ECLAC: The Caribbean";12.024817
"107";"ESCAP region: East and North-East Asia";1654.272852
"108";"ESCAP region: North and Central Asia";237.36497
"109";"ESCAP region: Pacific";42.665213
"110";"ESCAP region: South and South-West Asia";2024.708672
"111";"ESCAP region: South-East Asia";668.619854
"112";"ESCAP: ADB Developing member countries (DMCs)";4064.234805
"113";"ESCAP: ADB Group A (Concessional assistance only)";165.457879
"114";"ESCAP: ADB Group B (OCR blend)";1812.617151
"115";"ESCAP: ADB Group C (Regular OCR only)";2086.159775
"116";"ESCAP: ASEAN";667.301412
"117";"ESCAP: Central Asia";91.43051
"118";"ESCAP: ECO";512.630793
"119";"ESCAP: HDI groups";4627.631561
"120";"ESCAP: Landlocked countries (LLDCs)";166.831944
"121";"ESCAP: Least Developed Countries (LDCs)";314.374173
"122";"ESCAP: Pacific island dev. econ.";12.343099
"123";"ESCAP: SAARC";1856.376652
"124";"ESCAP: WB High income econ.";223.30548
"125";"ESCAP: WB Low income econ.";93.843964
"126";"ESCAP: WB Lower middle income econ.";2414.1892
"127";"ESCAP: WB Upper middle income econ.";1896.273735
"128";"ESCAP: WB income groups";4627.612379
"129";"ESCAP: high HDI";222.728251
"130";"ESCAP: high income";222.956185
"131";"ESCAP: income groups";4627.631561
"132";"ESCAP: low HDI";1933.858787
"133";"ESCAP: low income";2096.735108
"134";"ESCAP: lower middle HDI";2069.715776
"135";"ESCAP: lower middle income";586.217954
"136";"ESCAP: other Asia-Pacific countries/areas";200.828133
"137";"ESCAP: upper middle HDI";401.328747
"138";"ESCAP: upper middle income";1721.722314
"139";"ESCWA: Arab countries";436.378875
"140";"ESCWA: Arab least developed countries";96.075713
"141";"ESCWA: Gulf Cooperation Council countries";58.664095
"142";"ESCWA: Maghreb countries";99.451506
"143";"ESCWA: Mashreq countries";182.187561
"144";"ESCWA: member countries";374.777016
"145";"East African Community (EAC)";195.283232
"146";"Eastern Africa";445.405578
"147";"Eastern Asia";1678.089627
"148";"Eastern Europe";293.01321
"149";"Eastern European Group";339.831453
"150";"Eastern and South-Eastern Asia";2346.709481
"151";"Economic Community of Central African States (ECCAS)";204.438115
"152";"Economic Community of West African States (ECOWAS)";397.205524
"153";"Economic Cooperation Organization (ECO)";512.630793
"154";"Ecuador";17.64306
"155";"Egypt";102.334403
"156";"El Salvador";6.486201
"157";"Equatorial Guinea";1.402985
"158";"Eritrea";3.546427
"159";"Estonia";1.326539
"160";"Eswatini";1.160164
"161";"Ethiopia";114.963583
"162";"Eurasian Economic Community (Eurasec)";223.69152
"163";"Europe";747.636045
"164";"Europe (48)";747.636045
"165";"Europe and Northern America";1116.505689
"166";"European Community (EC: 12)";384.860299
"167";"European Free Trade Agreement (EFTA)";14.455247
"168";"European Union (EU: 15)";409.506687
"169";"European Union (EU: 28)";513.136526
"170";"Fiji";0.896444
"171";"Finland";5.540718
"172";"France";65.273512
"173";"France (and dependencies)";68.147687
"174";"French Guiana";0.298682
"175";"French Polynesia";0.280904
"176";"Gabon";2.225728
"177";"Gambia";2.416664
"178";"Georgia";3.989175
"179";"Germany";83.783945
"180";"Ghana";31.072945
"181";"Greater Arab Free Trade Area (GAFTA)";413.978399
"182";"Greece";10.423056
"183";"Grenada";0.112519
"184";"Group of 77 (G77)";6135.279467
"185";"Group of Eight (G8)";918.561011
"186";"Group of Seven (G7)";772.626551
"187";"Group of Twenty (G20) - member states";4653.331418
"188";"Guadeloupe";0.400127
"189";"Guam";0.168783
"190";"Guatemala";17.915567
"191";"Guinea";13.132792
"192";"Guinea-Bissau";1.967998
"193";"Gulf Cooperation Council (GCC)";58.664095
"194";"Guyana";0.786559
"195";"Haiti";11.402533
"196";"High-income countries";1263.092934
"197";"Honduras";9.904608
"198";"Hungary";9.66035
"199";"Iceland";0.34125
"200";"India";1380.004385
"201";"Indonesia";273.523621
"202";"Iran (Islamic Republic of)";83.992953
"203";"Iraq";40.222503
"204";"Ireland";4.937796
"205";"Israel";8.655541
"206";"Italy";60.461828
"207";"Jamaica";2.961161
"208";"Japan";126.476458
"209";"Jordan";10.20314
"210";"Kazakhstan";18.776707
"211";"Kenya";53.7713
"212";"Kiribati";0.119446
"213";"Kuwait";4.270563
"214";"Kyrgyzstan";6.524191
"215";"LLDC: Africa";341.388552
"216";"LLDC: Asia";166.831944
"217";"LLDC: Europe";6.117343
"218";"LLDC: Latin America";18.805559
"219";"Land-locked Countries";595.596207
"220";"Land-locked Countries (Others)";62.452809
"221";"Land-locked Developing Countries (LLDC)";533.143398
"222";"Lao People's Democratic Republic";7.275556
"223";"Latin America and the Caribbean";653.962332
"224";"Latin American Integration Association (ALADI)";573.658551
"225";"Latin American and Caribbean Group (GRULAC)";649.376323
"226";"Latvia";1.886202
"227";"League of Arab States (LAS, informal name: Arab League)";436.378875
"228";"Least developed countries";1057.438163
"229";"Least developed: Africa";701.835489
"230";"Least developed: Asia";343.074875
"231";"Least developed: Latin America and the Caribbean";11.402533
"232";"Least developed: Oceania";1.125266
"233";"Lebanon";6.825442
"234";"Lesotho";2.142252
"235";"Less developed regions";6521.494468
"236";"Less developed regions, excluding China";5050.207589
"237";"Less developed regions, excluding least developed countries";5464.056305
"238";"Less developed: Africa";1340.598113
"239";"Less developed: Asia";4514.578328
"240";"Less developed: Latin America and the Caribbean";653.962332
"241";"Less developed: Oceania";12.355695
"242";"Liberia";5.057677
"243";"Libya";6.871287
"244";"Lithuania";2.722291
"245";"Low-income countries";775.710612
"246";"Lower-middle-income countries";3098.235284
"247";"Luxembourg";0.625976
"248";"Madagascar";27.691019
"249";"Malawi";19.129955
"250";"Malaysia";32.365998
"251";"Maldives";0.540542
"252";"Mali";20.250834
"253";"Malta";0.441539
"254";"Martinique";0.375265
"255";"Mauritania";4.64966
"256";"Mauritius";1.271767
"257";"Mayotte";0.272813
"258";"Melanesia";11.12299
"259";"Mexico";128.932753
"260";"Micronesia";0.548927
"261";"Micronesia (Fed. States of)";0.115021
"262";"Middle Africa";179.595125
"263";"Middle-income countries";5753.051615
"264";"Mongolia";3.278292
"265";"Montenegro";0.628062
"266";"More developed regions";1273.304261
"267";"More developed: Asia";126.476458
"268";"More developed: Europe";747.636045
"269";"More developed: Northern America";368.869644
"270";"More developed: Oceania";30.322114
"271";"Morocco";36.910558
"272";"Mozambique";31.255435
"273";"Myanmar";54.409794
"274";"Namibia";2.540916
"275";"Nepal";29.136808
"276";"Netherlands";17.134873
"277";"Netherlands (and dependencies)";17.474842
"278";"New Caledonia";0.285491
"279";"New EU member states (joined since 2004)";103.629839
"280";"New Zealand";4.822233
"281";"New Zealand (and dependencies)";4.842765
"282";"Nicaragua";6.624554
"283";"Niger";24.206636
"284";"Nigeria";206.139587
"285";"No income group available";2.943568
"286";"Non-Self-Governing Territories";1.753672
"287";"North American Free Trade Agreement (NAFTA)";497.677557
"288";"North Atlantic Treaty Organization (NATO)";944.255667
"289";"North Macedonia";2.08338
"290";"Northern Africa";246.232508
"291";"Northern Africa and Western Asia";525.869282
"292";"Northern America";368.869644
"293";"Northern Europe";106.261271
"294";"Norway";5.421242
"295";"Oceania";42.677809
"296";"Oceania (excluding Australia and New Zealand)";12.355695
"297";"Oman";5.106622
"298";"Organisation for Economic Co-operation and Development (OECD)";1313.46947
"299";"Organization for Security and Co-operation in Europe (OSCE)";1296.294632
"300";"Organization of American States (OAS)";1018.121127
"301";"Organization of Petroleum Exporting countries (OPEC)";518.144279
"302";"Organization of the Islamic Conference (OIC)";1907.530488
"303";"Pakistan";220.892331
"304";"Panama";4.314768
"305";"Papua New Guinea";8.947027
"306";"Paraguay";7.13253
"307";"Peru";32.971846
"308";"Philippines";109.581085
"309";"Poland";37.846605
"310";"Polynesia";0.683778
"311";"Portugal";10.196707
"312";"Puerto Rico";2.86084
"313";"Qatar";2.88106
"314";"Republic of Korea";51.269183
"315";"Republic of Moldova";4.033963
"316";"Romania";19.237682
"317";"Russian Federation";145.93446
"318";"Rwanda";12.952209
"319";"Réunion";0.895308
"320";"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)";16.226846
"321";"SIDS Caribbean";43.506153
"322";"SIDS Pacific";12.343099
"323";"Saint Lucia";0.183629
