ibgeID;preconditions
110001;25
110037;8
110040;4
110034;15
110002;96
110045;31
110003;6
110060;2
110004;121
110070;7
110080;16
110090;1
110005;18
110092;4
110006;17
110007;6
110008;13
110094;7
110009;17
110100;15
110010;46
110110;7
110011;63
110012;154
110013;20
110120;12
110130;10
110140;8
110014;19
110033;16
110143;10
110050;9
110015;49
110018;43
110020;250
110025;20
110147;2
110026;2
110028;36
110029;12
110148;7
110149;12
110032;16
110150;16
110155;6
110160;8
110170;20
110175;8
110180;6
110030;109
110000;1
120001;16
120005;11
120010;28
120013;5
120017;8
120020;78
120025;11
120030;14
120032;4
120033;8
120034;5
120035;3
120038;20
120080;10
120039;5
120040;323
120042;7
120043;2
120050;35
120045;20
120060;24
120070;20
130002;9
130006;3
130008;4
130010;7
130014;14
130020;4
130030;26
130040;12
130050;10
130060;20
130063;6
130068;18
130070;16
130080;19
130083;6
130090;11
130100;14
130110;18
130115;11
130120;63
130130;18
130140;28
130150;10
130160;12
130165;11
130170;20
130180;4
130185;50
130190;75
130195;1
130200;6
130210;2
130220;8
130230;7
130240;26
130250;81
130255;13
130260;1479
130270;29
130280;5
130290;40
130300;7
130310;20
130320;7
130330;9
130340;98
130350;9
130353;18
130356;17
130360;9
130370;8
130380;15
130390;5
130395;5
130400;6
130406;26
130410;19
130420;47
130423;3
130426;4
130430;11
130440;20
140005;10
140002;3
140010;313
140015;8
140017;12
140020;14
140023;11
140028;8
140030;12
140040;9
140045;10
140047;24
140050;4
140060;4
140070;4
150010;60
150013;12
150020;33
150030;14
150034;8
150040;67
150050;19
150060;115
150070;15
150080;409
150085;21
150090;59
150095;17
150100;4
150110;13
150120;23
150125;1
150130;51
150140;1483
150145;18
150150;41
150157;19
150160;17
150170;110
150172;16
150175;4
150178;45
150180;39
150190;27
150200;22
150195;10
150210;98
150215;24
150220;71
150230;71
150240;150
150250;4
150260;11
150270;29
150275;29
150276;4
150277;29
150280;8
150285;9
150290;67
150293;39
150295;36
150300;6
150304;17
150307;26
150309;26
150310;20
150320;40
150330;43
150340;11
150345;14
150350;33
150360;126
150370;33
150375;3
150380;61
150390;36
150400;8
150405;32
150410;11
150420;230
150430;40
150440;26
150442;109
150445;27
150450;2
150460;16
150470;25
150475;3
150480;78
150490;20
150495;13
150497;6
150500;10
150503;16
150506;61
150510;43
150520;20
150530;23
150540;14
150543;12
150548;30
150549;2
150550;71
150553;101
150555;9
150560;7
150563;9
150565;11
150570;12
150580;18
150590;16
150600;5
150610;17
150611;13
150613;102
150616;15
150618;50
150619;14
150620;47
150630;31
150635;19
150640;16
150650;81
150655;17
150658;10
150660;17
150670;40
150680;231
150690;2
150700;20
150710;4
150715;36
150720;20
150730;37
150740;20
150745;29
150746;9
150747;26
150750;13
150760;54
150770;16
150775;3
150780;11
150790;29
150795;31
150796;13
150797;11
150800;39
150803;50
150805;10
150808;15
150810;71
150812;17
150815;26
150820;40
150830;37
150835;15
150840;39
150000;2
160010;8
160020;8
160021;4
160023;2
160025;1
160027;17
160030;340
160040;10
160050;7
160015;7
160053;10
160060;70
160070;5
160080;7
170025;4
170030;5
170035;6
170040;4
170070;10
170100;16
170105;9
170110;7
170130;16
170190;4
170200;6
170210;183
170215;14
170220;42
170230;18
170240;11
170255;46
170270;3
170290;29
170300;8
170305;2
170307;8
170310;13
170320;9
170330;7
170360;1
170370;9
170380;15
170382;1
170384;7
170386;11
170388;4
170389;9
170390;4
170410;3
170510;4
170460;2
170550;50
171670;14
170555;9
170560;3
170600;9
170610;15
170625;1
170650;4
170700;18
170710;9
170720;5
170730;6
170740;16
170755;9
170765;9
170770;7
170820;19
170825;3
170830;9
170900;12
170930;33
170950;101
170980;5
171050;5
171070;6
171090;5
171110;3
171150;4
171180;2
171190;11
171195;9
171200;1
171215;5
171240;6
171245;6
171250;5
171270;4
171280;5
171320;23
171330;22
171360;13
171370;4
171395;4
171420;14
171430;7
171488;20
171500;7
171510;3
171515;4
171525;5
171550;2
172100;155
171570;5
171380;9
171575;4
171610;57
171620;10
171630;6
171650;17
171660;16
171665;2
171700;3
171720;5
171750;5
171780;11
171790;9
171800;5
171820;58
171830;12
171840;5
171845;1
171850;5
171855;9
171865;2
171870;2
171875;5
171880;6
171884;3
171886;6
171888;6
171889;2
171890;3
172000;4
172010;7
172015;1
172020;12
172025;3
172030;6
172049;3
172065;9
172080;8
172085;5
172090;17
172093;5
172097;1
172110;9
172120;32
172125;4
172130;2
172208;11
172210;25
210005;125
210010;5
210015;10
210020;24
210030;8
210040;5
210043;22
210047;43
210050;13
210055;12
210060;46
210070;28
210080;18
210083;16
