IBGE;populacao
120001;1502
120005;73
120010;25848
120013;10111
120017;11456
120020;87673
120025;18122
120030;34675
120032;8159
120033;18638
120034;9336
120035;1843
120038;19565
120080;1818
120039;1172
120040;401155
120042;18504
120043;6362
120050;45177
120045;2281
120060;41976
120070;19048
270010;20162
270020;17564
270030;230417
270040;47
270050;15792
270060;8264
270070;18455
270080;4406
270090;6696
270100;27168
270110;10529
270120;1073
270130;21194
270135;6918
270140;56579
270150;9549
270160;17726
270170;17124
270180;9
270190;7319
270200;10744
270210;21575
270220;5826
270230;56562
270235;24129
270240;51763
270250;11054
270255;18153
270260;22152
270270;4729
270280;12773
270290;40588
270300;15606
270310;25649
270320;24408
270330;18378
270340;5288
270350;7036
270360;8317
270370;5597
270375;11624
270380;23903
270390;4175
270400;24731
270410;17934
270420;28495
270430;1012382
270440;19891
270490;3534
270450;32369
270460;9326
270470;51364
270480;13337
270500;25226
270510;24649
270520;17676
270530;5337
270540;7153
270550;28137
270560;12615
270570;21437
270580;9303
270590;5117
270600;11591
270610;11456
270620;4985
270630;73096
270640;24446
270642;10527
270644;13016
270650;15232
270660;7568
270670;63516
270680;17805
270690;35008
270700;2911
270710;24891
270720;14354
270730;27079
270740;7873
270750;20018
270760;11342
270770;74838
270780;668
270790;7272
270800;47486
270810;10755
270820;6953
270830;23855
270840;32111
270850;34415
270860;60775
270870;7888
270880;34011
270890;13716
270895;13818
270900;6187
270910;19886
270915;4396
270920;27632
270930;65461
270940;25773
130002;1586
130006;11332
130008;13269
130010;20538
130014;21583
130020;19438
130030;3883
130040;27364
130050;31593
130060;4202
130063;19258
130068;18781
130070;33976
130080;40565
130083;12877
130090;1545
130100;28076
130110;37384
130115;29595
130120;84272
130130;281
130140;3484
130150;19668
130160;18221
130165;16416
130170;54001
130180;28933
130185;47571
130190;99955
130195;7888
130200;9064
130210;3265
130220;14312
130230;14753
130240;45245
130250;96236
130255;31147
130260;2145444
130270;54907
130280;18186
130290;62755
130300;20899
130310;36721
130320;18974
130330;25237
130340;113168
130350;19329
130353;35352
130356;32577
130360;24436
130370;21966
130380;44816
130390;38515
130395;13685
130400;911
130406;64488
130410;17299
130420;60154
130423;1861
130426;13387
130430;16383
130440;22537
160010;9029
160020;10926
160021;5864
160023;7591
160025;5387
160027;49446
160030;493634
160040;21206
160050;26627
160015;15931
160053;21484
160055;4993
160060;11961
160005;5306
160070;16855
160080;15605
290010;8767
290020;19814
290030;15129
290035;16784
290040;16901
290060;4478
290070;150832
290080;22449
290090;5566
290100;37031
290110;25224
290115;16097
290120;18194
290130;13153
290135;1469
290140;14017
290150;11142
290160;19093
290170;11691
290180;11715
290190;17673
290195;736
290205;12143
290200;13229
290210;54099
290220;11332
290225;11079
290230;8813
290240;11774
290250;13824
290260;20488
290265;13217
290270;53231
290280;20813
290290;32018
290300;139
290310;5821
290320;153831
290323;14802
290330;5743
290327;15846
290340;23214
290350;17317
290360;15975
290370;12953
290380;18622
290390;68609
290395;9942
290400;14288
290405;16637
290410;2152
290420;103
290430;1437
290440;10493
290450;10341
290460;67048
290470;18391
290475;21067
290480;7043
290485;18698
290490;33861
290500;23045
290510;9372
290515;15524
290520;50861
290530;18356
290540;17913
290550;1326
290560;31968
290570;293723
290580;35248
290590;28844
290600;70912
290610;9719
290620;2602
290630;31301
290640;8338
290650;86677
290660;14268
290670;25332
290680;34784
290682;16752
290685;1166
290687;30451
290689;9107
290690;21937
290700;924
290710;28965
290720;71366
290730;26209
290740;3555
290750;54424
290755;934
290760;17252
290770;11154
290780;33356
290790;17097
290800;17458
290810;18746
290820;22392
290830;17332
290840;66191
290850;32909
290860;2563
290870;17319
290880;4086
290890;22719
290900;8585
290910;1424
290920;15801
290930;32081
290940;13796
290950;5349
290960;2104
290970;13872
290980;62871
290990;34389
291000;10906
291005;79685
291010;12155
291020;405
291030;8119
291040;17593
291050;41654
290050;10662
291060;36882
291070;59842
291072;112318
291075;17601
291077;5668
291080;609913
291085;1641
291090;5604
291100;10686
291110;25311
291120;32202
291125;4487
291130;11206
291140;15208
291150;7276
291160;20679
291165;7239
291170;84014
291180;20991
291185;13076
291190;24496
291200;9427
291210;22014
291220;19346
291230;16162
291240;18097
291250;14856
291260;4043
291270;23343
291280;8581
291290;1576
291300;16272
291310;1715
291320;26846
291330;6194
291340;1563
291345;13367
291350;26868
291360;164844
291370;39499
291380;14625
291390;45823
291400;59763
291410;9817
291420;7243
291430;8893
291440;24942
291450;28892
291460;72386
291465;30413
291470;64325
291480;21274
291490;27891
291500;15999
291510;12462
291520;14712
291530;6914
291535;14311
291540;677
291550;20587
291560;64521
291570;8069
291580;23358
291590;6445
291600;19499
291610;22114
291620;9008
291630;10306
291640;7547
291650;35256
291660;10328
291670;8288
291680;19646
291685;14432
291690;12624
291700;36063
291710;20375
291720;18889
291730;28457
291733;10969
291735;8496
291740;14834
291750;80394
291760;54163
291770;33385
291780;18588
291790;10691
291800;1558
291810;40232
291820;14516
291830;1154
291835;24964
291840;215183
291845;9272
291850;15307
291855;5902
291860;6406
291870;3757
291875;15555
291880;23638
291890;3934
291900;3808
291905;8546
291910;843
291915;2717
291920;195095
291930;11315
291940;12406
291950;45388
291955;84753
291960;11364
291970;18592
291980;49474
291990;7862
291992;20737
291995;3577
292000;10016
292010;18753
292020;1683
292030;843
292040;13397
292045;13546
292050;21295
292060;44555
292070;20518
292080;10434
292090;13931
292100;46014
292105;12116
292110;22659
292120;26159
292130;11009
292140;18195
292145;8844
292150;49565
292160;8542
292170;35383
292180;12031
292190;9244
292200;41221
292205;11114
292210;26575
292220;7399
292225;1128
292230;29387
292240;22156
292250;28451
292260;13914
292265;13095
292270;16451
292273;7802
292275;6631
292280;8172
292285;9115
292290;24493
292300;4295
292303;12241
292305;1538
292310;28152
292320;21838
292330;8557
292335;17389
292340;21703
292350;8961
292360;21518
292370;31853
292380;28956
292390;9981
292400;117014
292405;13601
292410;7298
292420;17486
292430;17269
292440;34486
292450;16234
292460;20204
292465;10482
292467;10007
292470;10952
292480;24538
292490;9272
292500;26092
292510;46862
292520;39045
292525;15012
292530;146625
292540;7549
292550;28152
292560;15121
292570;12505
292575;27422
292580;25445
292590;27533
292593;899
292595;2261
292600;412
292610;14295
292620;22343
292630;33403
292640;3524
292650;14843
292660;52956
292665;6304
292670;13048
292680;15289
292690;11645
292700;40475
292710;9213
292720;30767
292730;15463
292740;2857329
292750;20694
292760;14088
292770;27626
292780;6354
292790;10656
292805;12751
292810;3992
292840;28192
292850;10345
292800;37158
292820;26517
292830;892
292860;59512
292870;100605
292880;52413
292890;33193
292895;9042
292910;21069
292900;14717
292905;1531
292920;39338
292925;18798
292930;37139
292935;571
292937;10417
292940;11645
292950;44164
292960;17387
292970;19644
292975;11978
292980;12883
292990;43941
293000;11351
293010;78588
293020;40703
293015;31532
293030;17452
293040;15064
293050;80411
293060;13347
293070;132906
293075;12965
293076;10316
293077;22806
293080;16905
293090;12517
293100;20416
293105;17285
293110;7909
293120;20889
293130;17046
293135;158445
293140;7493
293150;22479
293160;1486
293170;12965
293180;16608
293190;50568
293200;24486
293210;19914
293220;19275
293230;26795
293240;13884
293245;19034
293250;19484
293260;16651
293270;2063
293280;19098
293290;95858
293300;2813
293305;14087
293310;913
293315;12772
293317;8895
293320;42706
293325;6258
293330;338885
293340;9347
293345;12299
293350;21228
293360;4644
230010;11663
230015;16639
230020;62557
230030;53931
230040;17303
230050;11529
230060;7521
230070;17096
230075;43131
230080;7328
230090;14814
230100;79563
230110;74084
230120;26455
230125;10901
230130;2155
230140;11346
230150;7836
230160;23417
230170;24699
230180;6272
230185;18151
230190;60155
230195;21104
230200;22593
230205;14989
230210;35575
230220;53421
230230;32593
230240;5444
230250;49109
230260;63408
230270;27409
230280;78049
230290;17793
230300;22427
230310;18802
230320;27095
230330;1895
230340;17747
230350;71499
230360;20562
230365;10437
230370;363982
230380;25249
230390;13047
230393;13476
230395;19345
230400;23258
230410;74982
230420;131372
230423;17994
230425;24131
230426;9585
230427;7211
230428;5288
230430;18882
230435;24169
230440;2643247
230445;16357
230450;13758
230460;6956
230465;15423
230470;54729
230480;4469
230490;11076
230495;26472
230500;39713
230510;3595
230520;20352
230523;66114
230526;13317
230530;24995
230533;12419
230535;19804
230540;67972
230550;103255
230560;26168
230565;11587
230570;12439
230580;41873
230590;38205
230600;14227
230610;24003
230620;7787
230625;39518
230630;5224
230640;128135
230650;20133
230655;41445
230660;20786
230670;18102
230680;11359
230690;34729
230700;33967
230710;27284
230720;7902
230725;19587
230730;271926
230740;24773
230750;31584
230760;59278
230763;19906
230765;226128
230770;127098
230780;27127
230790;11143
230800;38424
230810;46854
230820;1503
230830;28466
230835;13241
230837;13669
230840;35662
230850;4406
230860;17167
230870;62069
230880;8689
230890;22354
230900;14485
230910;12892
230920;1552
230930;32262
230940;28557
230945;25557
230950;21471
230960;71193
230970;83157
230980;12046
230990;6246
231000;9348
231010;13214
231020;34097
231025;327
231030;31398
231040;11664
231050;4316
231060;901
231070;37326
231080;16281
231085;20748
231090;16827
231095;10853
231100;12334
231110;15047
231120;10986
231123;64
231126;21
231130;87116
231135;14986
231140;79081
231150;22008
231160;27633
231170;18945
231180;76884
231190;15808
231195;16435
231220;43695
231200;32216
231210;17622
231230;46949
231240;48516
231250;7691
231260;12938
231270;26664
231280;7553
231290;206644
231300;18291
231310;30695
231320;25731
231325;8926
231330;58517
231335;18998
231340;7514
231350;55535
231355;16015
231360;3453
231370;7729
231375;19811
231380;21725
231390;13763
231395;18368
231400;40704
231410;60355
530010;2974703
320010;3072
320016;11131
320013;9653
320020;30568
320030;14566
320035;7798
320040;28736
320050;758
320060;99305
320070;11765
320080;30862
320090;44315
320100;14982
320110;991
320115;12381
320120;207324
320130;378603
320140;37317
320150;12158
320160;30849
320170;12638
320180;4338
320190;33711
320200;6727
320210;23014
320220;21061
320225;12535
320230;30607
320240;122982
320245;25732
320250;12365
320255;8919
320260;13745
320265;13226
320270;14109
320280;34032
320290;10619
320300;2903
320305;29904
320310;11744
320313;16614
320316;10961
320320;170364
320330;15194
320332;38108
320334;16464
320335;127
320340;26191
320350;1877
320360;5552
320370;17613
320380;1537
320390;4978
320400;23059
320405;25982
320410;26763
320420;21363
320425;7784
320430;11488
320435;19009
320440;11618
320450;123
320455;39849
320460;23392
320465;8589
320470;37361
320480;10566
320490;128542
320495;12318
320500;507598
320501;29449
320503;21207
320506;248
320510;76954
320515;9171
320517;14087
320520;486208
320530;358267
520005;8583
520010;19614
520013;22182
520015;2517
520017;5676
520020;1872
520025;20707
520030;27288
520050;2005
520055;6218
520060;7558
520080;8614
520082;3778
520085;6057
520090;3185
520110;38197
520120;1137
520130;21717
520140;565957
520145;2474
520150;4163
520160;356
520170;19959
520180;10116
520215;7756
520235;2689
520250;9635
520260;3184
520280;2425
520310;4992
520320;10922
520330;29448
520340;8813
520350;24776
520355;9488
520357;4316
520360;3659
520380;5761
520390;9433
520393;2501
520396;3302
520400;7939
520410;12297
520420;1361
520425;8102
520430;15743
520440;18715
520450;89087
520455;3759
520460;361
520465;3649
520470;12486
520480;7437
520485;7636
520490;19764
520495;2459
520500;9976
520505;3464
520510;106618
520520;5038
520530;9693
520540;22074
520545;8507
520547;9842
520549;69829
520551;19971
520552;3404
520570;2364
520580;1105
520590;9574
520620;57759
520630;2968
520640;16852
520650;35
520660;2871
520670;3315
520680;2923
520690;2094
520710;2488
520830;483
520725;7398
520735;371
520740;12276
520750;3286
520753;6678
520760;5722
520780;13131
520790;161
520800;119506
520810;4325
520815;3753
520840;11239
520850;5574
520860;69072
520870;1495705
520880;4326
520890;22916
520910;33986
520915;5806
520920;14211
520929;2041
520940;394
520945;1852
520960;3714
520970;21278
520980;3622
520990;13808
520993;6152
520995;15431
521000;52465
521010;26792
521015;2893
521020;31563
