ibgeID;total_deaths
110001;128
110037;48
110040;75
110034;76
110002;531
110045;130
110003;34
110060;20
110004;482
110070;31
110080;122
110090;18
110005;109
110092;32
110006;107
110007;30
110008;71
110094;44
110009;148
110100;56
110010;240
110110;29
110011;272
110012;737
110013;116
110120;46
110130;55
110140;66
110014;88
110033;99
110143;33
110050;44
110015;206
110145;13
110018;215
110146;10
110020;2220
110025;113
110147;16
110026;16
110028;265
110029;43
110148;25
110149;77
110032;84
110150;51
110155;28
110160;33
110170;50
110175;29
110180;24
110030;517
110000;13
120001;58
120005;44
120010;133
120013;48
120017;58
120020;422
120025;76
120030;159
120032;16
120033;72
120034;34
120035;35
120038;93
120080;73
120039;31
120040;2094
120042;43
120043;20
120050;203
120045;115
120060;186
120070;73
120000;8
130002;52
130006;26
130008;19
130010;51
130014;66
130020;41
130030;145
130040;99
130050;100
130060;160
130063;50
130068;62
130070;164
130080;122
130083;27
130090;49
130100;91
130110;147
130115;56
130120;335
130130;89
130140;183
130150;88
130160;82
130165;56
130170;193
130180;63
130185;250
130190;390
130195;19
130200;35
130210;13
130220;41
130230;56
130240;143
130250;413
130255;46
130260;10837
130270;165
130280;41
130290;233
130300;58
130310;114
130320;54
130330;85
130340;451
130350;50
130353;108
130356;85
130360;67
130370;65
130380;294
130390;126
130395;23
130400;30
130406;242
130410;69
130420;291
130423;40
130426;34
130430;68
130440;55
130000;3
140005;119
140002;64
140010;1815
140015;71
140017;76
140020;123
140023;45
140028;49
140030;82
140040;57
140045;57
140047;129
140050;24
140060;23
140070;53
150010;700
150013;50
150020;198
150030;105
150034;60
150040;259
150050;108
150060;641
150070;88
150080;2874
150085;149
150090;196
150095;96
150100;52
150110;70
150120;122
150125;13
150130;488
150140;9633
150145;124
150150;323
150157;70
150160;69
150170;748
150172;84
150175;27
150178;213
150180;338
150190;129
150200;70
150195;62
150210;496
150215;158
150220;406
150230;260
150240;1053
150250;40
150260;60
150270;267
150275;119
150276;45
150277;124
150280;74
150285;56
150290;228
150293;183
150295;171
150300;31
150304;97
150307;109
150309;115
150310;89
150320;220
150330;291
150340;59
150345;112
150350;147
150360;627
150370;193
150375;68
150380;233
150390;190
150400;83
150405;176
150410;44
150420;1429
150430;146
150440;156
150442;676
150445;125
150450;60
150460;123
150470;276
150475;79
150480;259
150490;133
150495;94
150497;50
150500;71
150503;158
150506;265
150510;220
150520;106
150530;283
150540;90
150543;145
150548;188
150549;29
150550;475
150553;783
150555;46
150560;42
150563;42
150565;72
150570;112
150580;187
150590;103
150600;94
150610;66
150611;59
150613;521
150616;116
150618;217
150619;106
150620;225
150630;122
150635;119
150640;28
150650;344
150655;97
150658;60
150660;134
150670;186
150680;1696
150690;27
150700;140
150710;85
150715;121
150720;105
150730;277
150740;94
150745;120
150746;32
150747;107
150750;57
150760;268
150770;79
150775;39
150780;67
150790;116
150795;325
150796;51
150797;74
150800;278
150803;154
150805;77
150808;181
150810;460
150812;97
150815;186
150820;273
150830;224
150835;91
150840;234
150000;78
160010;27
160020;27
160021;10
160023;20
160025;11
160027;140
160030;2317
160040;64
160050;66
160015;26
160053;56
160055;9
160060;484
160005;9
160070;35
160080;44
170025;12
170030;23
170035;38
170040;24
170070;44
170100;57
170105;24
170110;34
170130;42
170190;22
170200;39
170210;1004
170215;31
170220;188
170230;50
170240;84
170255;118
170270;20
170290;77
170300;42
170305;17
170307;27
170310;32
170320;23
170330;27
